,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
240,TCM Presents Casablanca 75th Anniversary,"$1,024,560Domestic Lifetime Gross $4,108,411",Fathom,Romance,PG,"November 12, 2017",1 hrs. 42 min.,N/A,N/A,N/A,N/A
241,Columbus,"$1,015,744",Independent,Drama,Unrated,"August 4, 2017",1 hrs. 44 min.,N/A,N/A,N/A,Parker Posey
242,Yu-Gi-Oh! The Dark Side of Dimensions,"$1,015,339",Screenvision,Animation,PG,"January 27, 2017",2 hrs. 10 min.,N/A,N/A,N/A,N/A
243,Golmaal Again,"$1,013,893",Reliance Films,Foreign,Unrated,"October 20, 2017",2 hrs. 20 min.,N/A,N/A,N/A,N/A
244,Last Flag Flying,"$965,481",Lionsgate,Drama,R,"November 3, 2017",2 hrs. 4 min.,N/A,Richard Linklater,John Sloss,"Steve Carell,Bryan Cranston,Laurence Fishburne"
245,Lucky (2017),"$955,925",Magnolia,Drama,Not Yet Rated,"September 29, 2017",1 hrs. 28 min.,N/A,N/A,N/A,"David Lynch,Ron Livingston"
246,Faces Places,"$953,717",Cohen Media Group,Documentary,PG,"October 6, 2017",1 hrs. 29 min.,N/A,N/A,N/A,N/A
247,Landline,"$940,854",Magnolia,Comedy,R,"July 21, 2017",1 hrs. 37 min.,N/A,Gillian Robespierre,N/A,Jay Duplass
248,Tubelight,"$930,058",Yash Raj,Drama,Unrated,"June 23, 2017",2 hrs. 50 min.,N/A,N/A,N/A,N/A
249,The Red Turtle,"$921,974",Sony Classics,Animation,PG,"January 20, 2017",1 hrs. 20 min.,N/A,N/A,N/A,N/A
250,Frantz,"$880,883",Music Box Films,Foreign,PG-13,"March 15, 2017",1 hrs. 53 min.,N/A,N/A,N/A,N/A
251,Journey to the West: The Demons Strike Back,"$880,346",Sony / Columbia,Adventure Comedy,PG-13,"February 3, 2017",1 hrs. 49 min.,N/A,N/A,N/A,N/A
252,The Polar Express (2017 re-release),"$875,150Domestic Lifetime Gross $186,493,472",Warner Bros.,Animation,G,"November 17, 2017",1 hrs. 40 min.,N/A,N/A,N/A,N/A
253,Jagga Jasoos,"$861,740",UTV Communications,Action / Adventure,Unrated,"July 14, 2017",2 hrs. 35 min.,N/A,N/A,N/A,N/A
254,Ex-File 3 (Qian Ren 3),"$838,959",China Lion,Comedy,Unrated,"December 29, 2017",2 hrs. 0 min.,N/A,N/A,N/A,N/A
255,BOMBSHELL: The Hedy Lamarr Story,"$820,300",Zeitgeist,Documentary,Unrated,"November 24, 2017",1 hrs. 29 min.,N/A,N/A,N/A,N/A
256,Patti Cake$,"$800,148",Fox Searchlight,Drama,R,"August 18, 2017",1 hrs. 48 min.,N/A,N/A,N/A,N/A
257,George Takei's Allegiance,"$784,850",Fathom,Musical,Unrated,"February 19, 2017",2 hrs. 10 min.,N/A,N/A,N/A,N/A
258,Mark Felt: The Man Who Brought Down the White House,"$768,946",Sony Classics,Drama,PG-13,"September 29, 2017",1 hrs. 43 min.,N/A,Peter Landesman,Colin Wilson,"Diane Lane,Liam Neeson"
259,1945,,Menemsha,Drama,Unrated,"November 1, 2017",1 hrs. 31 min.,N/A,N/A,N/A,N/A
260,Mubarakan,"$758,868",Sony / Columbia,Comedy,PG-13,"July 28, 2017",2 hrs. 36 min.,N/A,N/A,N/A,N/A
261,Walk With Me,,Gathr Films,Documentary,Unrated,"August 11, 2017",1 hrs. 34 min.,N/A,N/A,N/A,N/A
262,May It Last: A Portrait Of The Avett Brothers,"$725,286",Oscilloscope Pictures,Documentary,Unrated,"September 12, 2017",1 hrs. 44 min.,N/A,Judd Apatow,N/A,N/A
263,Kirk Cameron REVIVE US 2,"$718,607",Fathom,Documentary,Unrated,"October 24, 2017",1 hrs. 30 min.,N/A,N/A,N/A,N/A
264,The Exception,"$708,973",A24,Drama,R,"June 2, 2017",1 hrs. 47 min.,N/A,N/A,N/A,"Jai Courtney,Christopher Plummer"
265,Canelo Vs. GGG: Supremacy,"$703,396",Fathom,Documentary,Unrated,"September 16, 2017",N/A,N/A,N/A,N/A,N/A
266,Chris Brown: Welcome To My Life,"$693,984",Fathom,Documentary,Unrated,"June 8, 2017",2 hrs. 0 min.,N/A,N/A,N/A,Chris Brown
267,Titanic (20th Anniversary),"$691,642Domestic Lifetime Gross $659,363,944",Paramount,Romance,PG-13,"December 1, 2017",3 hrs. 14 min.,N/A,N/A,N/A,N/A
268,Lost in Paris,"$691,597",Oscilloscope Pictures,Comedy,Unrated,"June 16, 2017",1 hrs. 24 min.,N/A,N/A,N/A,N/A
269,Shubh Mangal Saavdhan,"$689,874",Eros,Romantic Comedy,Unrated,"September 1, 2017",1 hrs. 59 min.,N/A,N/A,N/A,N/A
270,The Devotion of Suspect X,"$686,435",China Lion,Thriller,Unrated,"March 31, 2017",1 hrs. 52 min.,N/A,N/A,N/A,N/A
271,Wilson,"$653,951",Fox Searchlight,Comedy,R,"March 24, 2017",1 hrs. 34 min.,N/A,Craig Johnson,N/A,Woody Harrelson
272,The Only Living Boy in New York,"$624,332",Roadside Attractions,Drama,R,"August 11, 2017",1 hrs. 30 min.,N/A,Marc Webb,"Albert Berger,Ron Yerxa","Jeff Bridges,Pierce Brosnan,Kate Beckinsale"
273,The Midwife,"$603,582",Music Box Films,Drama,Unrated,"July 21, 2017",1 hrs. 57 min.,N/A,N/A,N/A,N/A
274,Battle of Memories,"$594,552",China Lion,Thriller,Unrated,"April 28, 2017",1 hrs. 59 min.,N/A,N/A,N/A,N/A
275,Novitiate,"$580,346",Sony Classics,Drama,R,"October 27, 2017",2 hrs. 3 min.,N/A,N/A,N/A,Dianna Agron
276,Tommy's Honour,"$569,306",Roadside Attractions,Drama,PG,"April 14, 2017",1 hrs. 52 min.,N/A,N/A,N/A,N/A
277,Bitter Harvest,"$557,241",Roadside Attractions,Drama,R,"February 24, 2017",1 hrs. 43 min.,N/A,N/A,N/A,Max Irons
278,Samaritan's Purse: Facing Darkness (Encore),"$555,533",Fathom,Musical,Unrated,"April 10, 2017",N/A,N/A,N/A,N/A,N/A
279,Dolores,,PBS Distribution,Documentary,Unrated,"September 1, 2017",1 hrs. 35 min.,N/A,N/A,N/A,N/A
280,Brigsby Bear,"$532,669",Sony Classics,Comedy / Drama,PG-13,"July 28, 2017",1 hrs. 40 min.,N/A,N/A,N/A,N/A
281,Human Flow,"$527,845",Magnolia,Documentary,PG-13,"October 13, 2017",2 hrs. 21 min.,N/A,N/A,N/A,N/A
282,JONAH - On Stage!,"$520,496",Fathom,Unknown,Unrated,"May 2, 2017",2 hrs. 20 min.,N/A,N/A,N/A,N/A
283,Fairy Tail: Dragon Cry,"$519,461",FUNimation Films,Animation,Unrated,"August 14, 2017",1 hrs. 25 min.,N/A,N/A,N/A,N/A
284,Raw (2017),"$514,870",Focus World,Horror,R,"March 10, 2017",1 hrs. 39 min.,N/A,N/A,N/A,N/A
