,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
52,Kiss of the Spider Woman,"$17,005,229",Island Alive,Drama,R,"July 26, 1985",1 hrs. 51 min.,N/A,N/A,N/A,William Hurt
53,Death Wish 3,"$16,116,878",Cannon Films,Action,R,"November 1, 1985",1 hrs. 31 min.,N/A,N/A,N/A,N/A
54,King Solomon's Mines,"$15,057,465",Cannon Films,Period Adventure,PG-13,"November 22, 1985",1 hrs. 43 min.,N/A,N/A,N/A,Sharon Stone
55,Baby: Secret of the Lost Legend,"$14,972,297",Buena Vista,Family Adventure,PG,"March 22, 1985",1 hrs. 35 min.,N/A,N/A,N/A,N/A
56,Clue,"$14,643,997",Paramount,Comedy Thriller,PG,"December 13, 1985",1 hrs. 36 min.,N/A,N/A,"John Landis,Jon Peters",N/A
57,Remo Williams: The Adventure Begins,"$14,393,902",Orion Pictures,Action Comedy,PG-13,"October 11, 1985",2 hrs. 1 min.,N/A,N/A,N/A,N/A
58,Return of the Living Dead,"$14,237,880",Orion Pictures,Horror Comedy,R,"August 16, 1985",1 hrs. 54 min.,N/A,N/A,N/A,N/A
59,A Chorus Line,"$14,202,899",Columbia,Musical,PG-13,"December 13, 1985",1 hrs. 58 min.,N/A,N/A,N/A,Michael Douglas
60,Tomboy,"$14,100,000",Crown,Comedy,R,"January 25, 1985",1 hrs. 31 min.,N/A,N/A,N/A,N/A
61,Follow That Bird (Sesame St.),"$13,961,370",Warner Bros.,Family Adventure,G,"August 2, 1985",1 hrs. 29 min.,N/A,Ken Kwapis,N/A,N/A
62,One Magic Christmas,"$13,677,222",Buena Vista,Family,G,"November 22, 1985",1 hrs. 29 min.,N/A,N/A,N/A,N/A
63,Cat's Eye,"$13,086,298",MGM,Horror,PG-13,"April 12, 1985",1 hrs. 33 min.,N/A,N/A,N/A,Drew Barrymore
64,Vision Quest,"$12,993,175",Warner Bros.,Sports Drama,R,"February 15, 1985",1 hrs. 47 min.,N/A,N/A,Jon Peters,Forest Whitaker
65,Real Genius,"$12,952,019",TriStar,Comedy,PG,"August 9, 1985",1 hrs. 46 min.,N/A,Martha Coolidge,Brian Grazer,Val Kilmer
66,Perfect,"$12,918,858",Columbia,Drama,R,"June 7, 1985",2 hrs. 1 min.,N/A,N/A,N/A,"John Travolta,Jamie Lee Curtis"
67,Compromising Positions,"$12,531,831",Paramount,Unknown,R,"August 30, 1985",1 hrs. 38 min.,N/A,N/A,N/A,Susan Sarandon
68,Silver Bullet,"$12,361,866",Paramount,Horror,R,"October 11, 1985",1 hrs. 35 min.,N/A,N/A,N/A,Corey Haim
69,Enemy Mine,"$12,303,411",Fox,Sci-Fi Adventure,PG-13,"December 20, 1985",1 hrs. 48 min.,N/A,Wolfgang Petersen,N/A,Dennis Quaid
70,Lifeforce,"$11,603,545",TriStar,Sci-Fi Horror,R,"June 21, 1985",1 hrs. 41 min.,N/A,N/A,N/A,Patrick Stewart
71,Just One of the Guys,"$11,528,900",Columbia,Comedy,PG-13,"April 26, 1985",1 hrs. 40 min.,N/A,N/A,N/A,N/A
72,Return of the Jedi (Re-issue),"$11,252,123Domestic Lifetime Gross $309,306,177",Fox,Sci-Fi Fantasy,PG,"March 29, 1985",2 hrs. 14 min.,N/A,N/A,N/A,N/A
73,Return to Oz,"$11,137,801",Buena Vista,Fantasy,PG,"June 21, 1985",1 hrs. 50 min.,N/A,N/A,N/A,N/A
74,Krush Groove,"$11,052,713",Warner Bros.,Unknown,R,"October 25, 1985",1 hrs. 34 min.,N/A,N/A,N/A,N/A
75,Gotcha!,"$10,806,919",Universal,Unknown,PG-13,"May 3, 1985",1 hrs. 41 min.,N/A,N/A,N/A,N/A
76,Missing in Action II: The Beginning,"$10,755,447",Cannon Films,Action,R,"March 1, 1985",1 hrs. 35 min.,N/A,N/A,N/A,Chuck Norris
77,The Purple Rose of Cairo,"$10,631,333",Orion Pictures,Romantic Comedy,PG,"March 1, 1985",1 hrs. 22 min.,N/A,Woody Allen,N/A,N/A
78,Moving Violations,"$10,627,754",Fox,Comedy,PG-13,"April 19, 1985",1 hrs. 30 min.,N/A,N/A,Joe Roth,N/A
79,After Hours,"$10,609,321",Warner Bros.,Unknown,R,"September 13, 1985",1 hrs. 36 min.,N/A,Martin Scorsese,N/A,Rosanna Arquette
80,American Ninja,"$10,499,694",Cannon Films,Action,R,"August 30, 1985",1 hrs. 35 min.,N/A,N/A,N/A,N/A
81,Better Off Dead,"$10,297,601",Warner Bros.,Unknown,PG,"August 23, 1985",1 hrs. 37 min.,N/A,N/A,N/A,John Cusack
82,Lost in America,"$10,179,000",Warner Bros.,Comedy,R,"March 15, 1985",1 hrs. 31 min.,N/A,Albert Brooks,N/A,Albert Brooks
83,Once Bitten,"$10,000,000",Samuel Goldwyn,Horror Comedy,PG-13,"November 15, 1985",1 hrs. 33 min.,N/A,N/A,N/A,Jim Carrey
84,Brazil,"$9,929,135",Universal,Unknown,R,"December 18, 1985",2 hrs. 22 min.,N/A,Terry Gilliam,Arnon Milchan,"Jonathan Pryce,Robert DeNiro,Ian Holm"
85,Explorers,"$9,873,044",Paramount,Unknown,PG,"July 12, 1985",1 hrs. 46 min.,N/A,N/A,N/A,Ethan Hawke
86,The Journey of Natty Gann,"$9,708,373",Buena Vista,Unknown,PG,"September 27, 1985",1 hrs. 41 min.,N/A,N/A,N/A,John Cusack
87,Ghostbusters (Re-issue),"$9,389,135Domestic Lifetime Gross $242,212,467",Columbia,Unknown,PG,"August 23, 1985",1 hrs. 45 min.,N/A,N/A,N/A,N/A
88,Tuff Turf,"$9,369,329",Orion Pictures,Unknown,R,"January 11, 1985",1 hrs. 51 min.,N/A,N/A,N/A,"Robert Downey, Jr."
89,Sweet Dreams,"$9,085,049",TriStar,Unknown,PG-13,"October 4, 1985",1 hrs. 55 min.,N/A,N/A,N/A,N/A
90,Target,"$9,023,199",Warner Bros.,Unknown,R,"November 8, 1985",1 hrs. 57 min.,N/A,N/A,N/A,Matt Dillon
91,Mischief,"$8,692,426",Fox,Comedy,R,"February 8, 1985",1 hrs. 33 min.,N/A,N/A,N/A,N/A
92,The Man with One Red Shoe,"$8,645,411",Fox,Unknown,PG,"July 19, 1985",1 hrs. 32 min.,N/A,N/A,N/A,"Tom Hanks,Carrie Fisher"
93,That Was Then... This Is Now,"$8,630,068",Paramount,Unknown,R,"November 8, 1985",1 hrs. 42 min.,N/A,N/A,N/A,N/A
94,Secret Admirer,"$8,622,757",Orion Pictures,Romantic Comedy,R,"June 14, 1985",1 hrs. 40 min.,N/A,N/A,N/A,Corey Haim
95,Stick,"$8,489,518",Universal,Action / Crime,R,"April 26, 1985",1 hrs. 49 min.,N/A,N/A,N/A,N/A
96,Twice in a Lifetime,"$8,402,424",Bud Yorkin Co.,Unknown,R,"October 25, 1985",1 hrs. 51 min.,N/A,N/A,N/A,N/A
97,Fantasia (Re-issue) (1985),"$8,194,726Domestic Lifetime Gross $76,408,097",Buena Vista,Unknown,G,"February 8, 1985",2 hrs. 5 min.,N/A,N/A,N/A,N/A
98,D.A.R.Y.L.,"$7,840,873",Paramount,Unknown,PG,"June 14, 1985",1 hrs. 40 min.,N/A,N/A,N/A,N/A
99,Runaway Train,"$7,683,620",Cannon Films,Action Thriller,R,"December 6, 1985",1 hrs. 51 min.,N/A,N/A,N/A,Jon Voight
100,He-Man and She-Ra in The Secret of the Sword,"$7,660,857",Atlantic,Animation,G,"March 22, 1985",3 hrs. 15 min.,N/A,N/A,N/A,N/A
101,Into the Night,"$7,562,164",Universal,Unknown,R,"February 22, 1985",1 hrs. 55 min.,N/A,John Landis,N/A,Michelle Pfeiffer
102,The Trip to Bountiful,"$7,491,903",Island Pictures,Unknown,PG,"December 20, 1985",1 hrs. 48 min.,N/A,N/A,N/A,N/A
103,Transylvania 6-5000,"$7,196,872",New World,Unknown,PG,"November 8, 1985",1 hrs. 34 min.,N/A,N/A,N/A,N/A
104,Red Sonja,"$6,948,633",MGM,Action Fantasy,PG-13,"July 5, 1985",1 hrs. 29 min.,N/A,N/A,N/A,Arnold Schwarzenegger
105,Here Come the Littles,"$6,565,359",Atlantic,Animation,G,"January 18, 1985",1 hrs. 15 min.,N/A,N/A,N/A,N/A
106,Girls Just Want to Have Fun,"$6,326,051",New World,Unknown,PG,"April 12, 1985",1 hrs. 27 min.,N/A,N/A,N/A,"Sarah Jessica Parker,Helen Hunt"
107,Plenty,"$6,148,000",Fox,Unknown,R,"September 19, 1985",2 hrs. 1 min.,N/A,N/A,N/A,"Meryl Streep,Ian McKellen"
108,Rustler's Rhapsody,"$6,090,497",Paramount,Western,PG,"May 10, 1985",1 hrs. 28 min.,N/A,N/A,"David Giler,Walter Hill",N/A
109,Heaven Help Us,"$6,070,794",MGM,Comedy,R,"February 8, 1985",1 hrs. 44 min.,N/A,N/A,N/A,N/A
110,Gymkata,"$5,730,596",MGM,Action,R,"May 3, 1985",1 hrs. 30 min.,N/A,N/A,N/A,N/A
111,Avenging Angel,"$5,622,787",New World,Unknown,R,"January 11, 1985",1 hrs. 33 min.,N/A,N/A,N/A,N/A
112,Creator,"$5,349,607",Universal,Romantic Comedy,R,"September 20, 1985",1 hrs. 47 min.,N/A,N/A,N/A,Virginia Madsen
113,King David,"$5,111,099",Paramount,Unknown,PG-13,"March 29, 1985",1 hrs. 53 min.,N/A,N/A,N/A,Richard Gere
114,Day of the Dead,"$5,000,000",United Film Distribution Company,Unknown,Unrated,"July 19, 1985",1 hrs. 42 min.,$3.5 million,N/A,Richard P. Rubinstein,N/A
115,Gremlins (Re-issue),"$4,914,643Domestic Lifetime Gross $153,083,102",Warner Bros.,Unknown,PG,"August 30, 1985",1 hrs. 46 min.,N/A,N/A,N/A,N/A
116,Rainbow Brite and the Star Stealer,"$4,889,971",Warner Bros.,Animation,G,"November 15, 1985",1 hrs. 25 min.,N/A,N/A,N/A,N/A
117,The Company of Wolves,"$4,389,334",Cannon Films,Unknown,R,"April 19, 1985",1 hrs. 35 min.,$2 million,Neil Jordan,N/A,N/A
118,The Mean Season,"$4,349,446",Orion Pictures,Unknown,R,"February 15, 1985",1 hrs. 44 min.,N/A,N/A,N/A,Kurt Russell
119,That's Dancing!,"$4,210,938",MGM,Documentary,G,"January 18, 1985",1 hrs. 45 min.,N/A,N/A,N/A,N/A
120,My Science Project,"$4,122,748",Buena Vista,Unknown,PG,"August 9, 1985",1 hrs. 35 min.,N/A,N/A,N/A,N/A
121,Godzilla 1985,"$4,116,395",New World,Unknown,PG,"August 23, 1985",1 hrs. 27 min.,N/A,N/A,N/A,N/A
122,The Heavenly Kid,"$3,852,271",Orion Pictures,Romantic Comedy,PG-13,"July 26, 1985",1 hrs. 31 min.,N/A,N/A,N/A,N/A
123,Ran,"$3,607,393Domestic Lifetime Gross $4,135,750",Orion Classics,Foreign,R,"September 27, 1985",2 hrs. 40 min.,$11.5 million,N/A,N/A,N/A
124,Turk 182,"$3,594,997",Fox,Unknown,PG-13,"February 15, 1985",1 hrs. 42 min.,N/A,N/A,Ted Field,N/A
125,The Bride,"$3,558,669",Columbia,Unknown,PG-13,"August 16, 1985",1 hrs. 59 min.,N/A,N/A,N/A,Cary Elwes
126,Starchaser: The Legend of Orin,"$3,360,800",Atlantic,Unknown,PG,"November 22, 1985",1 hrs. 40 min.,N/A,N/A,N/A,N/A
127,Fraternity Vacation,"$3,333,306",New World,Comedy,R,"April 12, 1985",1 hrs. 34 min.,N/A,N/A,N/A,Tim Robbins
128,The Legend of Billie Jean,"$3,099,497",TriStar,Unknown,PG-13,"July 19, 1985",1 hrs. 36 min.,N/A,N/A,Jon Peters,N/A
